Unnamed: 0,Model,Company,Price,Rating,No_of_ratings,TotalReviwes,RamSize,RomSize
2627,"OPPO K10 (Black Carbon, 128 GB)",OPPO,13990,4.4,95135,7013,6 GB,128 GB
2628,"realme 9 (Stargaze White, 128 GB)",realme,15599,4.4,20705,1568,8 GB,128 GB
2629,"OPPO K10 (Blue Flame, 128 GB)",OPPO,13990,4.4,95135,7013,6 GB,128 GB
2630,"APPLE iPhone 14 (Starlight, 256 GB)",APPLE,83990,4.6,981,67,256 GB,Not Known
2631,"REDMI 10 (Pacific Blue, 128 GB)",REDMI,11999,4.2,21630,1610,6 GB,128 GB
2632,"MOTOROLA g31 (Baby Blue, 64 GB)",MOTOROLA,9999,4.2,31884,3711,4 GB,64 GB
2633,"Infinix Note 12 5G (Force Black, 64 GB)",Infinix,12999,4.2,10906,1285,6 GB,64 GB
2634,"MOTOROLA Edge 30 (Aurora Green, 128 GB)",MOTOROLA,24999,4.1,3589,526,8 GB,128 GB
2635,"Infinix Note 12 (Jewel Blue, 64 GB)",Infinix,9999,4.2,22608,2286,4 GB,64 GB
2636,"Infinix Note 12 (Force Black, 64 GB)",Infinix,9999,4.2,22608,2286,4 GB,64 GB
2637,"APPLE iPhone 11 (White, 64 GB)",APPLE,39999,4.6,176742,10518,64 GB,Not Known
2638,"realme C30 (Lake Blue, 32 GB)",realme,6999,4.1,32757,2159,3 GB,32 GB
2639,"realme C30 (Denim Black, 32 GB)",realme,6999,4.1,32757,2159,3 GB,32 GB
2640,"realme 9 5G (Supersonic Black, 64 GB)",realme,14999,4.5,36109,2083,4 GB,64 GB
2641,"OPPO F19 Pro+ 5G (Space Silver, 128 GB)",OPPO,19990,4.3,24287,2518,8 GB,128 GB
2642,"POCO M4 Pro (Power Black, 64 GB)",POCO,14999,4.3,130276,11960,6 GB,64 GB
2643,"Micromax IN 2C (Silver, 32 GB)",Micromax,5999,4.2,2047,262,3 GB,32 GB
2644,"MOTOROLA Edge 30 (Meteor Grey, 128 GB)",MOTOROLA,24999,4.1,3589,526,8 GB,128 GB
2645,"REDMI A1 (Black, 32 GB)",REDMI,6490,4.2,1893,141,2 GB,32 GB
2646,"vivo T1 44W (Midnight Galaxy, 128 GB)",vivo,17999,4.3,5156,440,8 GB,128 GB
2647,"MOTOROLA G51 5G (Bright Silver, 64 GB)",MOTOROLA,12999,4.1,16473,2057,4 GB,64 GB
2648,SAMSUNG Guru Music 2,SAMSUNG,2075,4.3,196562,18346,NA ROM,Not Known
2649,"realme C31 (Dark Green, 64 GB)",realme,8999,4.4,56801,2730,4 GB,64 GB
2650,"POCO M4 Pro (Yellow, 128 GB)",POCO,16499,4.3,130276,11960,6 GB,128 GB
2651,SAMSUNG Guru Music 2,SAMSUNG,2075,4.3,196562,18346,NA ROM,Not Known
2652,"APPLE iPhone 14 (Blue, 256 GB)",APPLE,83990,4.6,981,67,256 GB,Not Known
2653,"REDMI 10 (Caribbean Green, 128 GB)",REDMI,11999,4.2,21630,1610,6 GB,128 GB
2654,"REDMI 10A (Charcoal Black, 64 GB)",REDMI,8690,4.2,7695,484,4 GB,64 GB
2655,"Tecno Spark 8T (Atlantic Blue, 64 GB)",Tecno,10490,4.2,348,34,4 GB,64 GB
2656,Micromax X412,Micromax,934,3.9,14193,1243,32 MB,32 MB
2657,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",SAMSUNG,11999,4.4,108205,6211,4 GB,64 GB
2658,"REDMI 10A (Sea Blue, 64 GB)",REDMI,8746,4.2,5010,325,4 GB,64 GB
2659,"POCO M4 Pro (Yellow, 128 GB)",POCO,17999,4.3,12383,1095,8 GB,128 GB
2660,"POCO M4 5G (Yellow, 128 GB)",POCO,13999,4.2,22699,1884,6 GB,128 GB
2661,"REDMI 10A (Sea Blue, 32 GB)",REDMI,7890,4.1,749,53,3 GB,32 GB
2662,"REDMI 10A (Sea Blue, 64 GB)",REDMI,8649,4.2,5010,325,4 GB,64 GB
2663,"realme C31 (Dark Green, 32 GB)",realme,8299,4.5,45218,1790,3 GB,32 GB
2664,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",SAMSUNG,14999,4.3,137778,11213,6 GB,128 GB
2665,"Infinix Note 12 5G (Snowfall, 64 GB)",Infinix,12999,4.2,10906,1285,6 GB,64 GB
2666,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",SAMSUNG,11999,4.4,108205,6211,4 GB,64 GB
2667,"MOTOROLA Edge 30 (Meteor Grey, 128 GB)",MOTOROLA,24999,4.1,3589,526,8 GB,128 GB
2668,"Infinix Smart 6 (Light Sea Green, 64 GB)",Infinix,6499,4.3,27687,1913,2 GB,64 GB
2669,"SAMSUNG Galaxy M04 (Light Green, 64 GB)",SAMSUNG,9444,4.8,14,0,4 GB,64 GB
2670,"POCO M4 Pro (Cool Blue, 128 GB)",POCO,16499,4.3,130276,11960,6 GB,128 GB
2671,"OPPO F19 Pro+ 5G (Space Silver, 128 GB)",OPPO,19990,4.3,24287,2518,8 GB,128 GB
2672,"Micromax IN 2C (Silver, 32 GB)",Micromax,5999,4.2,2047,262,3 GB,32 GB
2673,"POCO X4 Pro 5G (Laser Black, 128 GB)",POCO,19999,4.2,61334,6308,6 GB,128 GB
2674,"Infinix Hot 12 Pro (Lightsaber Green, 64 GB)",Infinix,9999,4.2,5542,324,6 GB,64 GB
2675,"Infinix Hot 12 Pro (Halo White, 128 GB)",Infinix,11999,4.0,3969,355,8 GB,128 GB
2676,"vivo T1 44W (Midnight Galaxy, 128 GB)",vivo,17999,4.3,5156,440,8 GB,128 GB
2677,"POCO M4 Pro (Power Black, 64 GB)",POCO,14999,4.3,130276,11960,6 GB,64 GB
2678,"POCO X4 Pro 5G (Yellow, 128 GB)",POCO,19999,4.2,61334,6308,6 GB,128 GB
2679,SAMSUNG Guru Music 2,SAMSUNG,2075,4.3,196562,18346,NA ROM,Not Known
2680,"realme C31 (Dark Green, 64 GB)",realme,8999,4.4,56801,2730,4 GB,64 GB
2681,"realme C35 (Glowing Green, 64 GB)",realme,11999,4.4,159779,9431,4 GB,64 GB
2682,"MOTOROLA G51 5G (Bright Silver, 64 GB)",MOTOROLA,12999,4.1,16473,2057,4 GB,64 GB
2683,"POCO M4 Pro (Yellow, 128 GB)",POCO,16499,4.3,130276,11960,6 GB,128 GB
2684,"vivo T1 5G (Rainbow Fantasy, 128 GB)",vivo,19990,4.3,14894,1303,8 GB,128 GB
2685,"APPLE iPhone 14 (Blue, 256 GB)",APPLE,83990,4.6,981,67,256 GB,Not Known
2686,"REDMI 10 (Caribbean Green, 128 GB)",REDMI,11999,4.2,21630,1610,6 GB,128 GB
2687,"Infinix Smart 6 (Heart Of Ocean, 64 GB)",Infinix,6499,4.3,27687,1913,2 GB,64 GB
2688,"Infinix Smart 6 (Heart Of Ocean, 64 GB)",Infinix,6499,4.3,27687,1913,2 GB,64 GB
2689,"Infinix Smart 6 (Starry Purple, 64 GB)",Infinix,6499,4.3,27687,1913,2 GB,64 GB
2690,"REDMI 10A (Sea Blue, 64 GB)",REDMI,9499,4.2,7695,484,4 GB,64 GB
2691,"Tecno Spark 8T (Atlantic Blue, 64 GB)",Tecno,10490,4.2,348,34,4 GB,64 GB
2692,Micromax X412,Micromax,934,3.9,14193,1243,32 MB,32 MB
2693,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",SAMSUNG,11999,4.4,108205,6211,4 GB,64 GB
2694,"REDMI 10A (Sea Blue, 64 GB)",REDMI,8746,4.2,5010,325,4 GB,64 GB
2695,"POCO M4 5G (Yellow, 128 GB)",POCO,13999,4.2,22699,1884,6 GB,128 GB
2696,Nokia 150 TA-1235 DS,Nokia,2499,4.1,11975,878,4 MB,4 MB
2697,"MOTOROLA g22 (Iceberg Blue, 64 GB)",MOTOROLA,9499,3.7,26741,3220,4 GB,64 GB
2698,"realme C31 (Light Silver, 64 GB)",realme,8999,4.4,56801,2730,4 GB,64 GB
2699,"POCO X4 Pro 5G (Laser Blue, 128 GB)",POCO,19999,4.2,61334,6308,6 GB,128 GB
2700,"realme C31 (Light Silver, 32 GB)",realme,9299,4.5,45218,1790,3 GB,32 GB
2701,"realme C31 (Dark Green, 32 GB)",realme,8299,4.5,45218,1790,3 GB,32 GB
2702,"POCO M4 Pro (Power Black, 128 GB)",POCO,17999,4.3,12383,1095,8 GB,128 GB
2703,LAVA A3,LAVA,1212,4.2,27114,2792,4 MB,3 MB
2704,"REDMI 10A (Sea Blue, 32 GB)",REDMI,7890,4.1,749,53,3 GB,32 GB
2705,"realme 10 Pro 5G (Hyperspace, 128 GB)",realme,19999,4.4,1963,193,8 GB,128 GB
2706,"APPLE iPhone 11 (Black, 64 GB)",APPLE,39999,4.6,176742,10518,64 GB,Not Known
2707,Motorola a10,Motorola,1399,4.2,5507,644,0 MB,Expandable Upto
2708,Motorola a10,Motorola,1399,4.2,5507,644,0 MB,Expandable Upto
2709,SAMSUNG Guru Music 2,SAMSUNG,2099,4.3,196562,18346,NA ROM,Upto 16
2710,SAMSUNG GURU MUSIC 2,SAMSUNG,2075,4.1,3092,256,8 MB,0 GB
2711,"realme C35 (Glowing Black, 128 GB)",realme,12999,4.4,159779,9431,4 GB,128 GB
2712,"Infinix Note 12 Pro 5G (Snowfall, 128 GB)",Infinix,16999,4.1,15545,2023,8 GB,128 GB
2713,Nokia 150 DS 2020,Nokia,2499,4.1,20173,1585,4 MB,4 MB
2714,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",SAMSUNG,11999,4.4,108205,6211,4 GB,64 GB
2715,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",SAMSUNG,13999,4.2,32083,2613,4 GB,128 GB
2716,"Realme C30 - Locked with Airtel Prepaid (Lake Blue, 32 GB)",Realme,5499,4.3,66939,3492,2 GB,32 GB
2717,Nokia 105 TA-1416 DS,Nokia,1449,4.1,4334,319,32 MB,32 MB
2718,"POCO M4 Pro 5G (Power Black, 128 GB)",POCO,13999,4.2,41124,3691,6 GB,128 GB
2719,"Infinix Note 12 Pro 5G (Force Black, 128 GB)",Infinix,16999,4.1,15545,2023,8 GB,128 GB
2720,"SAMSUNG GALAXY M13 5G (Aqua Green, 128 GB)",SAMSUNG,14988,4.1,402,28,6 GB,128 GB
2721,"POCO C31 (Shadow Gray, 32 GB)",POCO,6999,4.3,123512,7402,3 GB,32 GB
2722,"vivo T1 Pro 5G (Turbo Black, 128 GB)",vivo,23999,4.4,7325,702,6 GB,128 GB
2723,SAMSUNG Guru Music 2,SAMSUNG,2075,4.3,196562,18346,NA ROM,Not Known
2724,"REDMI 10 Prime (Bifrost Blue, 128 GB)",REDMI,12999,4.2,10213,748,6 GB,128 GB
2725,"SAMSUNG Galaxy S21 FE 5G (Lavender, 128 GB)",SAMSUNG,35999,4.4,29082,3001,8 GB,128 GB
2726,"MOTOROLA G60 (Moonless, 128 GB)",MOTOROLA,15999,4.2,131824,13360,6 GB,128 GB
2727,"Nothing Phone (1) (White, 256 GB)",Nothing,35499,4.3,5975,693,12 GB,256 GB
2728,"Nothing Phone (1) (Black, 256 GB)",Nothing,27499,4.3,39201,5306,8 GB,256 GB
2729,"Infinix Smart 6 (Polar Black, 64 GB)",Infinix,6499,4.3,27687,1913,2 GB,64 GB
2730,"REDMI 10 Prime (Astral White, 128 GB)",REDMI,12999,4.2,10213,748,6 GB,128 GB
2731,Nokia 105 PLUS,Nokia,1399,4.1,5686,404,4 MB,4 MB
2732,itel It2171,itel,999,4.1,3569,328,32 MB,32 MB
2733,Nokia 105 PLUS,Nokia,1399,4.1,5686,404,4 MB,4 MB
2734,Micromax X412,Micromax,953,3.9,14193,1243,32 MB,32 MB
2735,"MOTOROLA g52 (Charcoal Grey, 64 GB)",MOTOROLA,11999,4.2,8442,1070,4 GB,64 GB
2736,"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)",APPLE,60999,4.7,177611,9781,128 GB,Not Known
2737,"Nothing Phone (1) (White, 256 GB)",Nothing,35499,4.3,5975,693,12 GB,256 GB
2738,LAVA GEM,LAVA,1649,4.2,29598,3174,0 MB,Expandable Upto
2739,"realme C33 (Night Sea, 32 GB)",realme,8999,4.4,16512,699,3 GB,32 GB
2740,"realme C11 2021 (Cool Grey, 32 GB)",realme,7499,4.4,233435,10147,2 GB,32 GB
2741,"vivo T1 44W (Starry Sky, 128 GB)",vivo,17999,4.3,5156,440,8 GB,128 GB
2742,"realme C33 (Aqua Blue, 32 GB)",realme,8999,4.4,16512,699,3 GB,32 GB
2743,"realme C33 (Sandy Gold, 32 GB)",realme,8999,4.4,16512,699,3 GB,32 GB
2744,"POCO C50 (Country Green, 32 GB)",POCO,7299,2.7,3,0,3 GB,32 GB
2745,"POCO M4 Pro 5G (Yellow, 128 GB)",POCO,14999,4.2,7856,692,8 GB,128 GB
2746,"realme C31 (Light Silver, 64 GB)",realme,8999,4.4,56801,2730,4 GB,64 GB
2747,"Infinix HOT 12 Play (Racing Black, 64 GB)",Infinix,8699,4.3,108143,8028,4 GB,64 GB
2748,"Infinix HOT 12 Play (Daylight Green, 64 GB)",Infinix,8699,4.3,108143,8028,4 GB,64 GB
2749,"Infinix HOT 12 Play (Horizon Blue, 64 GB)",Infinix,8699,4.3,108143,8028,4 GB,64 GB
2750,"Infinix HOT 12 Play (Champagne Gold, 64 GB)",Infinix,8699,4.3,108143,8028,4 GB,64 GB
2751,"REDMI A1 (Light Green, 32 GB)",REDMI,6335,4.2,1893,141,2 GB,32 GB
2752,"realme 9i 5G (Metallica Gold, 64 GB)",realme,14999,4.5,37211,1725,4 GB,64 GB
2753,"realme 9i 5G (Soulful Blue, 64 GB)",realme,14999,4.5,37211,1725,4 GB,64 GB
2754,"realme 9i 5G (Rocking Black, 64 GB)",realme,14999,4.5,37211,1725,4 GB,64 GB
2755,"vivo Y16 (Drizzling Gold, 64 GB)",vivo,10499,4.3,776,58,3 GB,64 GB
2756,"Infinix Hot 12 Pro (Electric Blue, 64 GB)",Infinix,9999,4.2,5542,324,6 GB,64 GB
2757,"POCO X4 Pro 5G (Laser Black, 128 GB)",POCO,21999,4.1,14202,1467,8 GB,128 GB
2758,"REDMI 10A (Slate grey, 64 GB)",REDMI,8488,4.2,7695,484,4 GB,64 GB
2759,"REDMI 10A (Charcoal Black, 32 GB)",REDMI,7990,4.1,1550,103,3 GB,32 GB
2760,"Tecno Spark 8T (Turquoise Cyan, 64 GB)",Tecno,8985,4.2,348,34,4 GB,64 GB
2761,"Infinix Note 12 TURBO (Snowfall, 128 GB)",Infinix,13999,4.2,7196,925,8 GB,128 GB
2762,"Infinix Note 12 (Jewel Blue, 128 GB)",Infinix,11999,4.2,11430,1103,6 GB,128 GB
2763,"Infinix Note 12 (Force Black, 128 GB)",Infinix,11999,4.2,11430,1103,6 GB,128 GB
2764,KARBONN KX3,KARBONN,998,4.0,1915,134,31 MB,32 MB
2765,"APPLE iPhone 14 (Purple, 256 GB)",APPLE,83990,4.6,981,67,256 GB,Not Known
2766,LAVA Flip,LAVA,1879,4.1,13313,1282,32 MB,32 MB
2767,LAVA Flip,LAVA,1879,4.1,13313,1282,32 MB,32 MB
2768,"MOTOROLA Edge 30 Pro (Cosmos Blue, 128 GB)",MOTOROLA,34999,4.0,1010,179,8 GB,128 GB
2769,"Realme C30 - Locked with Airtel Prepaid (Bamboo Green, 32 GB)",Realme,5499,4.3,66939,3492,2 GB,32 GB
2770,"Realme C30 - Locked with Airtel Prepaid (Denim Black, 32 GB)",Realme,5499,4.3,66939,3492,2 GB,32 GB
2771,Nokia 110 TA-1302 DS,Nokia,1715,4.0,24647,1954,4 MB,4 MB
2772,"REDMI Note 10T 5G (Mint Green, 128 GB)",REDMI,16999,4.2,30870,2392,6 GB,128 GB
2773,"POCO X4 Pro 5G (Laser Blue, 128 GB)",POCO,21999,4.1,14202,1467,8 GB,128 GB
2774,itel It2171,itel,999,4.1,3569,328,32 MB,32 MB
2775,"realme C33 (Aqua Blue, 64 GB)",realme,9999,4.5,52460,2270,4 GB,64 GB
2776,"realme C33 (Sandy Gold, 64 GB)",realme,9999,4.5,52460,2270,4 GB,64 GB
2777,"realme C33 (Night Sea, 64 GB)",realme,9999,4.5,52460,2270,4 GB,64 GB
2779,itel Ace2 Star,itel,899,4.4,46,4,4 MB,4 MB
2780,"MOTOROLA G60 (Frosted Champagne, 128 GB)",MOTOROLA,15999,4.2,131824,13360,6 GB,128 GB
2781,Micromax X415,Micromax,936,3.9,747,66,32 MB,32 MB
2782,SAMSUNG GT-E1215,SAMSUNG,1650,4.3,53933,4504,NA ROM,Not Known
2783,"OPPO F19 (Midnight Blue, 128 GB)",OPPO,15490,4.3,22833,1669,6 GB,128 GB
2784,"REDMI Note 11 SE (Bifrost Blue, 64 GB)",REDMI,16998,4.3,30409,1886,6 GB,64 GB
2785,"realme C33 (Night Sea, 64 GB)",realme,9999,4.5,52460,2270,4 GB,64 GB
2786,"realme C33 (Sandy Gold, 64 GB)",realme,9999,4.5,52460,2270,4 GB,64 GB
2787,"Infinix Note 11s Free Fire Edition (Haze Green, 128 GB)",Infinix,15999,4.2,7333,980,8 GB,128 GB
2788,"OPPO F19 (Midnight Blue, 128 GB)",OPPO,15490,4.3,22833,1669,6 GB,128 GB
2789,"OPPO F19 (Prism Black, 128 GB)",OPPO,15490,4.3,22833,1669,6 GB,128 GB
2790,Micromax X512,Micromax,1119,4.1,258,16,30 MB,24 MB
2791,"Google Pixel 6a (Charcoal, 128 GB)",Google,29999,4.3,22516,2917,6 GB,128 GB
2792,"POCO F4 5G (Night Black, 128 GB)",POCO,25999,4.3,4248,586,8 GB,128 GB
2793,"APPLE iPhone 11 (Red, 64 GB)",APPLE,39999,4.6,176742,10518,64 GB,Not Known
2794,"REDMI 10A SPORT (SLATE GREY, 128 GB)",REDMI,10447,4.0,548,37,6 GB,128 GB
2795,"MOTOROLA edge 30 (Meteor Grey, 128 GB)",MOTOROLA,22999,4.1,6637,949,6 GB,128 GB
2796,LAVA A1 Josh 2021,LAVA,1089,4.1,7344,628,0 MB,Expandable Upto
2797,"IQOO Z6 44W (Ravan Black, 128 GB)",IQOO,16299,4.2,607,42,6 GB,128 GB
2798,"realme 9 Pro+ 5G (Aurora Green, 128 GB)",realme,21499,4.4,30596,3739,6 GB,128 GB
2799,"realme Narzo 50i (Carbon Black, 32 GB)",realme,6920,4.5,121209,4801,2 GB,32 GB
2800,"realme C35 (Glowing Black, 128 GB)",realme,13999,4.2,12952,848,6 GB,128 GB
2801,"realme C35 (Glowing Green, 128 GB)",realme,13999,4.2,12952,848,6 GB,128 GB
2802,SAMSUNG GT-E1215,SAMSUNG,1650,4.3,53933,4504,NA ROM,Not Known
2803,"POCO M4 Pro (Cool Blue, 128 GB)",POCO,17999,4.3,12383,1095,8 GB,128 GB
2804,SAMSUNG Guru Music 2,SAMSUNG,2075,4.3,196562,18346,NA ROM,Not Known
2805,"REDMI 10A SPORT (SEA BLUE, 128 GB)",REDMI,9995,4.0,548,37,6 GB,128 GB
2806,"REDMI Note 11 SE (Thunder Purple, 64 GB)",REDMI,11999,4.3,30409,1886,6 GB,64 GB
2807,SAMSUNG Guru 1200,SAMSUNG,1655,4.1,7072,504,153 MB,153 MB
2808,SAMSUNG Guru 1200,SAMSUNG,1655,4.1,7072,504,153 MB,153 MB
2809,"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)",SAMSUNG,11099,4.2,1860,131,4 GB,64 GB
2810,"Micromax IN 2C (Brown, 32 GB)",Micromax,5999,4.2,2047,262,3 GB,32 GB
2811,Motorola a70,Motorola,1959,4.1,1549,157,0 MB,Expandable Upto
2812,Micromax X708,Micromax,1219,3.9,1856,138,32 MB,32 MB
2813,Micromax X708,Micromax,1318,3.9,1856,138,32 MB,32 MB
2814,"Tecno POVA 4 (Uranolith Grey, 128 GB)",Tecno,12826,4.3,4,1,8 GB,128 GB
2815,LAVA Hero 600i,LAVA,919,4.2,37,3,4 MB,3 MB
2816,"POCO M4 Pro (Cool Blue, 128 GB)",POCO,17999,4.3,12383,1095,8 GB,128 GB
2817,Motorola a70,Motorola,1999,4.0,842,100,4 MB,4 MB
2818,"realme Narzo 50i (Mint Green, 32 GB)",realme,7014,4.5,121209,4801,2 GB,32 GB
2819,"vivo Y16 (Steller Black, 32 GB)",vivo,9999,4.3,776,58,3 GB,32 GB
2820,"realme C30s (Stripe Blue, 32 GB)",realme,7499,4.5,3975,143,2 GB,32 GB
2821,LAVA Gem,LAVA,1729,4.2,7884,705,32 MB,32 MB
2822,LAVA A1 2021,LAVA,1119,4.1,3851,343,32 MB,24 MB
2823,"Tecno Pova 3 (Electric Blue, 64 GB)",Tecno,11990,4.2,253,12,4 GB,64 GB
2824,"Tecno Pova 3 (Tech Silver, 64 GB)",Tecno,10955,4.2,253,12,4 GB,64 GB
2825,"Tecno Pova 3 (Tech Silver, 128 GB)",Tecno,13958,4.1,170,12,6 GB,128 GB
2826,"Tecno Pova 3 (Eco Black, 64 GB)",Tecno,10949,4.2,253,12,4 GB,64 GB
2827,Kechaoda K112,Kechaoda,1609,4.0,19126,2027,32 MB,64 MB
2828,GREENBERRI F1,GREENBERRI,1299,3.9,1511,116,64 MB,64 MB
2829,"POCO F4 5G (Night Black, 256 GB)",POCO,29999,4.4,2469,358,12 GB,256 GB
2830,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",SAMSUNG,11499,4.3,101336,9764,4 GB,64 GB
2832,"Nothing Phone (1) (Black, 256 GB)",Nothing,35499,4.3,5975,693,12 GB,256 GB
2833,"Nothing Phone (1) (Black, 128 GB)",Nothing,25999,4.3,39201,5306,8 GB,128 GB
2834,"MOTOROLA G51 5G (Indigo Blue, 64 GB)",MOTOROLA,12999,4.1,16473,2057,4 GB,64 GB
2835,"I Kall King Talking, Contact icon and Auto Call Recording",I,744,3.6,14932,1394,32 MB,32 MB
2836,"OPPO K10 (Black Carbon, 128 GB)",OPPO,16990,4.3,5053,432,8 GB,128 GB
2837,"REDMI 10A (Charcoal Black, 64 GB)",REDMI,8579,4.2,7695,484,4 GB,64 GB
2838,"APPLE iPhone 12 (Black, 128 GB)",APPLE,57999,4.6,185701,12675,128 GB,Not Known
2839,LAVA 34 Ultra,LAVA,1649,4.1,1418,160,24 MB,32 MB
2840,"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",SAMSUNG,19698,4.3,784,58,8 GB,128 GB
2842,Snexian GURU 310,Snexian,698,3.3,18230,1475,32 MB,32 MB
2843,Nokia 105 PLUS,Nokia,1549,4.1,5686,404,4 MB,4 MB
2845,MTR Ferrari,MTR,1300,4.1,6207,449,64 MB,64 MB
2846,MTR Ferrari,MTR,1300,4.1,6207,449,64 MB,64 MB
2847,"SAMSUNG GALAXY M13 5G (Midnight Blue, 128 GB)",SAMSUNG,14699,4.1,402,28,6 GB,128 GB
2848,MU M5000,MU,1179,3.9,2295,287,32 MB,32 MB
2849,LAVA A1,LAVA,1129,4.2,107469,11417,24 MB,24 MB
2850,"Tecno Spark 9 (Infinity Black, 64 GB)",Tecno,8479,4.1,293,23,4 GB,64 GB
2851,"Infinix HOT 20 5G (Blaster Green, 64 GB)",Infinix,11499,4.2,831,107,4 GB,64 GB
2852,SAMSUNG GT-E1215,SAMSUNG,1663,4.3,53933,4504,NA ROM,Not Known
2853,"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",SAMSUNG,19298,4.3,784,58,8 GB,128 GB
2854,DIZO Star 500,DIZO,1999,4.0,12294,1460,32 MB,32 MB
2855,itel It2171,itel,999,4.1,3569,328,32 MB,32 MB
2856,"OPPO F19s (Glowing Gold, 128 GB)",OPPO,19990,4.5,8966,505,6 GB,128 GB
2857,LAVA A1 2021,LAVA,1129,4.1,3851,343,32 MB,24 MB
2858,"Infinix Zero 20 (Green Fantasy, 128 GB)",Infinix,17999,4.4,449,80,8 GB,128 GB
2859,"Infinix Zero 20 (DEEP GRAY, 128 GB)",Infinix,17999,4.4,449,80,8 GB,128 GB
2860,"vivo Y01 (Elegant Black, 32 GB)",vivo,7999,4.3,549,40,2 GB,32 GB
2861,"realme Narzo 50i (Carbon Black, 64 GB)",realme,8999,4.3,61879,3488,4 GB,64 GB
2862,Nokia 105 TA-1416 DS,Nokia,1599,4.1,4334,319,32 MB,32 MB
2863,KARBONN KX3,KARBONN,993,3.9,8355,652,32 MB,32 MB
2864,itel Ace 2N,itel,899,4.2,354,17,4 MB,4 MB
2865,LAVA A1 2021,LAVA,1119,4.1,1913,187,0 MB,Expandable Upto
2866,GFive V8,GFive,725,3.8,767,52,32 MB,32 MB
2867,"IQOO Neo 6 5G (Dark Nova, 128 GB)",IQOO,30199,4.3,754,91,8 GB,128 GB
2868,"vivo Y01A (Sapphire Blue, 32 GB)",vivo,7999,4.2,544,32,2 GB,32 GB
2869,"realme 9 Pro+ 5G (Aurora Green, 128 GB)",realme,23499,4.4,27012,3068,8 GB,128 GB
2870,"realme 9 Pro+ 5G (Midnight Black, 128 GB)",realme,21499,4.4,30596,3739,6 GB,128 GB
2871,"realme 9 Pro+ 5G (Midnight Black, 128 GB)",realme,23499,4.4,27012,3068,8 GB,128 GB
2872,"realme 9 Pro+ 5G (Aurora Green, 256 GB)",realme,25499,4.4,27012,3068,8 GB,256 GB
2873,"realme C35 (Glowing Green, 128 GB)",realme,12999,4.4,159779,9431,4 GB,128 GB
2874,"APPLE iPhone 12 (Purple, 128 GB)",APPLE,57999,4.6,185701,12675,128 GB,Not Known
2875,"REDMI Note 11S (Horizon Blue, 64 GB)",REDMI,15399,4.2,2082,170,6 GB,64 GB
2876,"REDMI 9 Activ (Coral Green, 128 GB)",REDMI,10499,4.2,4552,308,6 GB,128 GB
2877,"vivo T1 Pro 5G (Turbo Cyan, 128 GB)",vivo,24999,4.3,14613,1579,8 GB,128 GB
2878,"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)",SAMSUNG,18300,4.2,7179,613,6 GB,128 GB
2879,LAVA A3 Power,LAVA,1329,4.1,1769,172,0 GB,Expandable Upto
2880,"Infinix HOT 20 Play (Luna Blue, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB
2881,"MOTOROLA e40 (Carbon Gray, 64 GB)",MOTOROLA,7999,4.1,56085,5600,4 GB,64 GB
2882,"MOTOROLA e40 (Pink Clay, 64 GB)",MOTOROLA,7999,4.1,56085,5600,4 GB,64 GB
2883,"POCO C31 (Shadow Gray, 64 GB)",POCO,7499,4.3,183688,11185,4 GB,64 GB
2884,"MOTOROLA G32 (Mineral Gray, 64 GB)",MOTOROLA,9999,4.2,16249,1639,4 GB,64 GB
2885,"REDMI 9i Sport (Carbon Black, 64 GB)",REDMI,7199,4.3,209377,12027,4 GB,64 GB
2886,"REDMI 9i Sport (Coral Green, 64 GB)",REDMI,7199,4.3,209377,12027,4 GB,64 GB
2887,"POCO M4 Pro 5G (Cool Blue, 64 GB)",POCO,11999,4.3,33258,2972,4 GB,64 GB
2888,"realme 9 5G (Stargaze White, 128 GB)",realme,16499,4.4,44415,2930,6 GB,128 GB
2889,"realme 9 5G (Supersonic Blue, 64 GB)",realme,14999,4.5,36109,2083,4 GB,64 GB
2890,"realme 9 5G (Meteor Black, 64 GB)",realme,14999,4.5,36109,2083,4 GB,64 GB
2891,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",MOTOROLA,14999,4.1,8567,933,6 GB,128 GB
2892,"POCO M4 Pro 5G (Cool Blue, 128 GB)",POCO,13999,4.2,41124,3691,6 GB,128 GB
2893,"MOTOROLA g52 (Metallic White, 128 GB)",MOTOROLA,12999,4.2,20882,2628,6 GB,128 GB
2894,"realme 9 5G (Meteor Black, 128 GB)",realme,16499,4.4,44415,2930,6 GB,128 GB
